pos,breeder,pigeon,name,color,sex,ent,arrival,speed,to_win,eligible
274,Equalizer Loft,0940-AU15-LAF,,BC,H,4,41:23.0,109.057,0:59:09,Yes
275,Texas Outlaws,19638-AU15-FOYS,,BC,H,4,41:35.0,108.922,0:59:21,Yes
276,Bionic Loft,4853-AU15-TEXS,,BC,H,2,41:40.0,108.866,0:59:25,Yes
277,Tongol 11,1985-AU15-TONG,SEMPER FI 11,WGRZ,H,3,41:46.0,108.799,0:59:31,Yes
278,Charlie's Little Loft,28219-AU15-ARPU,Charlie,BC,H,2,41:48.0,108.776,0:59:34,Yes
279,The Bailey Team,22719-AU15-ARPU,,BB,H,4,42:10.0,108.53,0:59:56,Yes
280,Stenman Loft,5263-AU15-VITA,,BC,H,8,42:13.0,108.497,0:59:58,Yes
281,Hi-Cal Connection,0799-AU15-HAWA,,BB,H,3,42:46.0,108.13,1:00:32,Yes
282,Redtex,0002-AU15-RTEX,,RC,H,10,42:56.0,108.02,1:00:41,Yes
283,Fisher Family Loft,55315-AU15-ARPU,,SILV,H,5,43:07.0,107.898,1:00:53,Yes
284,The Bailey Team,22725-AU15-ARPU,,DC,C,5,43:10.0,107.865,1:00:56,Yes
285,Drama Queen Loft,1226-AU15-GCI,,BC,H,2,43:11.0,107.854,1:00:57,Yes
286,N C Syndicate,1065-AU15-TXHC,,BB,H,4,43:35.0,107.59,1:01:21,Yes
287,Alias-Alias,2054-AU15-ALIA,,BB,H,7,43:36.0,107.579,1:01:22,Yes
288,Shawnie & Lenny Loft,1112-AU15-SMCC,,BC,H,4,44:47.0,106.807,1:02:32,Yes
289,Dave Harrett,0022-AU15-JEDD,,BB,H,5,45:22.0,106.43,1:03:08,Yes
290,Protege Loft,0028-IF15-PROT,,BLK,H,3,45:48.0,106.152,1:03:33,Yes
291,American Lofts,3588-AU15-CORP,,BBWF,H,4,46:16.0,105.854,1:04:01,Yes
292,Milner-Mckinsey,2498-AU15-VITA,Elle,OPAL,H,7,46:37.0,105.632,1:04:22,Yes
293,Jerry Johnson,15412-AU15-SGF,,BC,H,1,47:01.0,105.379,1:04:46,Yes
293,A P C Loft,15045-AU15-APC,,BB,H,10,47:01.0,105.379,1:04:46,Yes
295,Ganus Family Loft,0786-AU15-GFL,,BBWF,H,5,47:08.0,105.305,1:04:54,Yes
296,Charlie's Little Loft,28217-AU15-ARPU,Edward,BB,H,3,47:25.0,105.127,1:05:10,Yes
297,Bynum Family Lofts,27680-AU15-ARPU,,BB,H,4,47:45.0,104.918,1:05:30,Yes
298,A P C Loft,15051-AU15-APC,,BB,H,11,48:07.0,104.689,1:05:53,Yes
299,Shang N Dennis Yoh,0909-AU15-JEDD,,BCSP,H,4,48:25.0,104.503,1:06:10,Yes
300,Family Loft,0065-AU15-FAM,,BB,C,10,48:30.0,104.451,1:06:15,Yes
301,Alias-Alias,2017-AU15-ALIA,,BB,H,8,48:39.0,104.358,1:06:25,Yes
302,Ganus Family Loft,0759-AU15-GFL,,BB,C,6,48:42.0,104.327,1:06:28,Yes
303,Drama Queen Loft,1214-AU15-GCI,,BBSP,H,3,48:44.0,104.307,1:06:29,Yes
304,Jerry Johnson,15418-AU15-SGF,,RCWF,H,2,48:48.0,104.265,1:06:34,Yes
305,N C Syndicate,19660-AU15-FOYS,,BB,H,5,48:58.0,104.163,1:06:43,Yes
306,T C R Loft,3351-AU15-AA,,BC,H,4,49:18.0,103.957,1:07:04,Yes
307,N C Syndicate,3352-AU15-AA,,DC,H,6,49:33.0,103.804,1:07:19,Yes
308,Protege Loft,0013-IF15-PROT,,BB,H,4,49:46.0,103.672,1:07:31,Yes
309,Hi-Cal Connection,0788-AU15-HAWA,,BB,H,4,50:18.0,103.347,1:08:03,Yes
310,Alias-Alias,2027-AU15-ALIA,,BB,H,9,50:38.0,103.145,1:08:24,Yes
311,Kiko Arana,57087-AU15-ARPU,,BBPI,H,3,50:59.0,102.934,1:08:44,Yes
312,Woodsend/Perry,1038-AU15-GHC,,BB,H,9,51:00.0,102.924,1:08:45,Yes
313,Rick Barker,2352-AU15-HIGH,,BB,H,5,51:10.0,102.824,1:08:55,Yes
314,Mc Laughlin Lofts,2185-AU15-MCLO,,BB,H,4,53:40.0,101.344,1:11:25,Yes
315,Stenman Loft,5277-AU15-VITA,,BC,H,9,53:48.0,101.266,1:11:33,Yes
316,Greek Connection,0523-AU15-GRK,,BB,H,4,54:11.0,101.043,1:11:56,Yes
317,P J Loft,0006-IF15-PJLO,,BB,H,2,54:18.0,100.975,1:12:04,Yes
318,Alias-Alias,2047-AU15-ALIA,,BB,H,10,54:26.0,100.898,1:12:12,Yes
319,Cypress Hills Farm,15636-AU15-HELF,,BBPI,H,2,54:41.0,100.754,1:12:26,Yes
320,Leyba's Loft,0150-AU15-FTSU,,BB,H,3,54:44.0,100.725,1:12:29,Yes
321,7-11 Syndicate,1965-AU15-SD,,BB,H,2,54:51.0,100.658,1:12:36,Yes
322,Clear Springs Loft,0246-AU15-NWFI,,BB,H,3,54:54.0,100.629,1:12:39,Yes
323,A P C Loft,15080-AU15-APC,,BC,H,12,55:02.0,100.552,1:12:48,Yes
324,Family Loft,0055-AU15-FAM,,BBWF,H,11,55:19.0,100.39,1:13:04,Yes
325,Redtex,0011-AU15-RTEX,,RC,H,11,55:20.0,100.38,1:13:06,Yes
326,T C R Loft,3357-AU15-AA,,BC,H,5,55:27.0,100.313,1:13:13,Yes
327,Twin200,7800-AU15-VITA,,SIL,H,1,55:28.0,100.304,1:13:13,Yes
328,Kiko Arana,57088-AU15-ARPU,,BB,H,4,55:40.0,100.19,1:13:25,Yes
329,Dave Harrett,0007-AU15-JEDD,,BB,H,6,55:41.0,100.18,1:13:27,Yes
330,Emerson/Krass,1554-AU15-EMER,,BB,H,5,56:01.0,99.991,1:13:46,Yes
331,Little Reata Loft,15450-AU15-JETT,,BC,H,5,56:10.0,99.905,1:13:56,Yes
332,Debbie Ganus,0726-AU15-GFL,,BBWF,H,6,56:33.0,99.688,1:14:19,Yes
333,Baysideboys,2758-IF15-FOYS,,GRIZ,H,1,56:56.0,99.472,1:14:42,Yes
334,King City,0085-AU15-AIRC,Gage,BKWF,H,3,57:01.0,99.426,1:14:46,Yes
335,Bynum Family Lofts,27678-AU15-ARPU,,BB,H,5,57:16.0,99.285,1:15:02,Yes
336,4-Birds,0760-AU15-ESPO,,BB,H,3,57:26.0,99.192,1:15:12,Yes
337,Non Pareil Loft,0012-AU15-NPL,,BB,H,4,58:40.0,98.507,1:16:26,Yes
338,The Bailey Team,1551-AU15-GJC,,BB,H,6,58:43.0,98.48,1:16:28,Yes
339,Family Loft,0151-AU15-FAM,,BB,C,12,59:00.0,98.324,1:16:45,Yes
340,Andy Skwiat,0031-AU15-ANDY,,BB,H,9,59:01.0,98.315,1:16:46,Yes
341,Iv Aces Loft,7099-IF15-ACES,,BB,H,2,59:09.0,98.242,1:16:54,Yes
342,Loizzi/Sikora,1746-AU15-FVC,,BB,H,5,59:17.0,98.169,1:17:02,Yes
343,Greg Glazier,5755-AU15-SLI,,PENC,H,4,59:18.0,98.16,1:17:03,Yes
344,Redtex,0001-AU15-RTEX,,RC,H,12,59:28.0,98.068,1:17:14,Yes
345,Baldwin & Tilson,1193-AU15-TENT,,BB,H,3,59:43.0,97.932,1:17:28,Yes
346,4-Birds,0770-AU15-ESPO,,BB,H,4,59:44.0,97.923,1:17:29,Yes
347,Alias-Alias,2009-AU15-ALIA,,BB,H,11,59:48.0,97.887,1:17:33,Yes
348,Stenman Loft,5272-AU15-VITA,,DC,H,10,59:53.0,97.841,1:17:39,Yes
349,Mayberry Classic,5509-AU15-MAC,,BB,H,1,00:03.0,97.751,1:17:48,Yes
350,Little Reata Loft,15468-AU15-JETT,,BBWF,H,6,00:37.0,97.444,1:18:22,Yes
351,Shang N Dennis Yoh,0999-AU15-JEDD,,BBWF,H,5,01:23.0,97.032,1:19:09,Yes
352,Andy Skwiat,0032-AU15-ANDY,,BB,H,10,04:13.0,95.54,1:21:58,Yes
353,Flyhome Loft,1532-AU15-FLYH,,BB,H,2,09:52.0,92.697,1:27:37,Yes
354,P J Loft,0002-IF15-PJLO,,BB,H,3,11:46.0,91.778,1:29:32,Yes
355,Tony Family Lofts,58857-AU15-ARPU,,BC,H,1,11:52.0,91.73,1:29:38,Yes
356,Baldwin & Tilson,0979-AU15-TENT,,BB,H,4,11:59.0,91.675,1:29:44,Yes
357,Baysideboys,2748-IF15-FOYS,,DC,H,2,12:02.0,91.651,1:29:47,Yes
358,Greek Connection,0674-AU15-GRK,,BB,H,5,12:03.0,91.643,1:29:48,Yes
358,Jerdee,0005-IF15-POWS,,BBWF,H,1,12:03.0,91.643,1:29:48,Yes
360,Goshentown Lofts,5848-AU15-VITA,,BB,H,3,12:06.0,91.619,1:29:51,Yes
361,E & E Loft,0016-AU15-EE,,BB,H,1,12:07.0,91.611,1:29:52,Yes
362,The Bailey Team,0444-AU15-GJC,,BCWF,H,7,12:08.0,91.603,1:29:53,Yes
363,Jerdee,0001-IF15-POWS,,BB,H,2,12:09.0,91.595,1:29:55,Yes
363,Jerdee,0003-IF15-POWS,,BB,H,3,12:09.0,91.595,1:29:55,Yes
365,E & E Loft,0017-AU15-EE,,BB,H,2,12:11.0,91.579,1:29:57,Yes
365,Captain Chuck,1681-AU15-CAPT,,BB,H,3,12:11.0,91.579,1:29:57,Yes
367,Jb & D,1287-IF15-CCC,,BC,H,13,12:16.0,91.54,1:30:01,Yes
368,Milner-Mckinsey,2493-AU15-VITA,,BB,H,8,12:17.0,91.532,1:30:02,Yes
369,Jerdee,0007-IF15-POWS,,BB,H,4,12:20.0,91.508,1:30:05,Yes
369,Hutchins/Milner,2495-AU15-VITA,Jack Frost,BBWF,H,2,12:20.0,91.508,1:30:05,Yes
371,Baldwin & Tilson,1196-AU15-TENT,,BB,H,5,12:21.0,91.5,1:30:06,Yes
372,Captain Chuck,1669-AU15-CAPT,,BB,H,4,12:23.0,91.484,1:30:08,Yes
373,Stelling Loft,0254-AU15-JHS,,BCH,H,3,12:24.0,91.476,1:30:10,Yes
374,Captain Chuck,1684-AU15-CAPT,,BLK,H,5,12:27.0,91.452,1:30:13,Yes
375,Sandstrom Brothers Loft,0372-AU15-SBL,,BBWF,H,6,12:30.0,91.429,1:30:15,Yes
376,Sandstrom Brothers Loft,0371-AU15-SBL,,BB,H,7,12:31.0,91.421,1:30:16,Yes
377,Jerdee,0010-IF15-POWS,,BB,H,5,12:32.0,91.413,1:30:17,Yes
377,Captain Chuck,1520-AU15-CAPT,,BLK,H,6,12:32.0,91.413,1:30:17,Yes
379,Captain Chuck,1680-AU15-CAPT,,RC,H,7,12:35.0,91.389,1:30:20,Yes
380,Hutchins/Milner,0085-AU15-HUTC,,BB,H,3,12:36.0,91.381,1:30:22,Yes
381,Hutchins/Milner,0077-AU15-HUTC,,BB,H,4,12:38.0,91.365,1:30:24,Yes
381,Captain Chuck,1509-AU15-CAPT,,SIL,H,8,12:38.0,91.365,1:30:24,Yes
383,Baysideboys,2751-IF15-FOYS,,BC,H,3,12:40.0,91.349,1:30:26,Yes
383,Tony Family Lofts,58859-AU15-ARPU,,BC,H,2,12:40.0,91.349,1:30:26,Yes
385,Captain Chuck,1689-AU15-CAPT,,RC,H,9,12:42.0,91.334,1:30:27,Yes
386,Tony Family Lofts,58853-AU15-ARPU,,BCSP,H,3,12:43.0,91.326,1:30:28,Yes
387,Stelling Loft,0257-AU15-JHS,,BB,H,4,12:46.0,91.302,1:30:32,Yes
387,Braden/Olivieri,0471-AU15-LAKE,Canned Heat,BBWF,H,1,12:46.0,91.302,1:30:32,Yes
389,Baldwin & Tilson,0997-AU15-TENT,,BB,H,6,12:47.0,91.294,1:30:33,Yes
390,E & E Loft,0012-AU15-EE,,BC,H,3,12:51.0,91.263,1:30:36,Yes
391,Jerdee,0011-IF15-POWS,,BB,H,6,12:54.0,91.239,1:30:39,Yes
392,Baldwin & Tilson,1029-AU15-TENT,,BBPI,H,7,12:59.0,91.2,1:30:44,Yes
393,Braden/Olivieri,0469-AU15-LAKE,Rogue Brew,BB,H,2,13:02.0,91.176,1:30:47,Yes
394,Goshentown Lofts,5843-AU15-VITA,,BB,H,4,13:26.0,90.987,1:31:12,Yes
395,Captain Chuck,1522-AU15-CAPT,,RC,H,10,13:31.0,90.948,1:31:17,Yes
396,Hutchins/Milner,2496-AU15-VITA,,BB,H,5,13:37.0,90.901,1:31:23,Yes
397,Twin200,7799-AU15-VITA,,SIL,H,2,20:25.0,87.817,1:38:10,Yes
398,Mayberry Classic,5508-AU15-MAC,,BBSP,H,2,29:42.0,83.929,1:47:28,Yes
399,Sierra Ranch Classic,0519-AU15-SIER,,BC,H,6,44:49.0,78.286,2:02:34,Yes
400,Hi-Cal Connection,0798-AU15-HAWA,,BB,H,5,49:32.0,76.677,2:07:18,Yes
